id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
1,Baccalauréat Technique,Mathématiques;Français;Informatique;Physique;Anglais;Histoire-Géographie,16.9,13.69,9.86,16.14,17.45,11.59,14.95,0,11.38,9.72,0,11.04,Conception de logiciels;Analyse des systèmes;Aménagement,Intelligence artificielle;Informatique;Technologie;Environnement,Création d'une application de gestion;Création d'une application Python,Technicien,Bureau;Télétravail,IGGLIA
2,Bac+3,Français;Physique;Informatique;Biologie,17.18,14.42,0,14.31,13.99,0,0,10.59,0,14.57,0,8.53,Conception de logiciels;Python;Programmation,Intelligence artificielle;Informatique;Technologie;Tourisme,Création d'une application de gestion;Projet de développement web,Ingénieur;Développeur logiciel,Télétravail,IGGLIA
3,Bac+3,Mathématiques;Français,16.65,12.1,0,17.54,15.22,0,0,0,13.13,11.48,0,0,Conception de logiciels;Analyse des systèmes;Python,Technologie,Création d'une application Python,Technicien,Bureau;Travail en équipe;Télétravail;Laboratoire,IGGLIA
4,Baccalauréat Technique,Informatique;Mathématiques;Physique,16.07,13.23,0,15.17,15.33,14.98,9.69,0,0,10.49,0,0,Analyse des systèmes;Python;Analyse financière,Informatique;Technologie,Création d'une application Python,Développeur logiciel;Agronome,Bureau;Télétravail,IGGLIA
5,Baccalauréat S,Informatique;Physique,15.55,18.34,8.78,14.49,16.08,0,0,11.22,14.89,9.52,11.38,10.0,Analyse des systèmes,Informatique;Technologie;Intelligence artificielle,Création d'une application Python,Développeur logiciel;Ingénieur,Travail en équipe;Laboratoire,IGGLIA
6,Baccalauréat D,Physique;Informatique;Français;Biologie,18.42,16.62,12.67,16.85,15.27,9.49,0,0,8.96,0,12.76,0,Conception de logiciels;Programmation;Techniques de vente,Informatique;Intelligence artificielle,Projet de développement web;Création d'une application de gestion,Développeur logiciel,Bureau;Télétravail;Travail en équipe,IGGLIA
7,Bac+1,Mathématiques;Français;Informatique;Technique,16.97,18.87,14.54,14.78,16.24,8.86,0,12.84,0,13.07,11.91,0,Python,Informatique;Technologie,Création d'une application de gestion,Technicien,Travail en équipe;Bureau;Télétravail;Entreprise,IGGLIA
8,Bac+3,Physique;Français,12.77,16.39,0,11.85,17.09,12.48,0,0,0,0,9.3,0,Analyse des systèmes;Technologies alimentaires,Intelligence artificielle;Informatique,Projet de développement web,Développeur logiciel;Technicien,Travail en équipe;Télétravail,IGGLIA
9,Bac+1,Informatique;Mathématiques,13.64,13.9,12.08,17.87,12.11,0,12.64,0,12.77,14.29,15.87,15.2,Conception de logiciels;Gestion financière,Technologie,Projet de développement web,Technicien;Ingénieur,Télétravail,IGGLIA
10,Bac+2,Français;Informatique;Physique,14.19,15.7,0,13.61,16.19,9.68,0,0,11.53,0,0,0,Programmation;Conception de logiciels;Python;Rédaction,Technologie;Intelligence artificielle;Informatique,Création d'une application de gestion,Développeur logiciel;Commercial,Télétravail;Bureau,IGGLIA
